region,primary_cause,burnt_area_category,fires,area
Türkiye,human,0-1,39.17,1.62
Türkiye,human,1-10,8.96,4.44
Türkiye,human,10-100,1.57,6.95
Türkiye,human,100-1000,0.28,13.41
Türkiye,human,1000-10000,0.04,25.55
Türkiye,human,10000-100000,0.01,16.05
Türkiye,lightning,0-1,11.5,0.26
Türkiye,lightning,1-10,0.74,0.35
Türkiye,lightning,10-100,0.07,0.3
Türkiye,lightning,100-1000,0.01,0.61
Türkiye,unknown,0-1,29.27,1.24
Türkiye,unknown,1-10,7.13,3.61
Türkiye,unknown,10-100,1.05,4.68
Türkiye,unknown,100-1000,0.18,7.61
Türkiye,unknown,1000-10000,0.02,9.87
Türkiye,unknown,10000-100000,0,3.45
Türkiye,total,0-1,79.93,3.12
Türkiye,total,1-10,16.82,8.4
Türkiye,total,10-100,2.69,11.93
Türkiye,total,100-1000,0.48,21.63
Türkiye,total,1000-10000,0.07,35.42
Türkiye,total,10000-100000,0.01,19.5
izmir,human,0-1,74.91,3.62
izmir,human,1-10,13.78,8.41
izmir,human,10-100,2.55,15.65
izmir,human,100-1000,0.58,42.74
izmir,human,1000-10000,0.06,28.08
izmir,lightning,0-1,5.7,0.12
izmir,lightning,1-10,0.52,0.28
izmir,lightning,10-100,0.02,0.06
izmir,unknown,0-1,1.48,0.08
izmir,unknown,1-10,0.33,0.15
izmir,unknown,10-100,0.04,0.25
izmir,unknown,100-1000,0.02,0.55
mugla,human,0-1,35.85,0.78
mugla,human,1-10,4.41,1.28
mugla,human,10-100,1.11,2.84
mugla,human,100-1000,0.22,5.32
mugla,human,1000-10000,0.05,17.49
mugla,human,10000-100000,0.02,17.85
mugla,lightning,0-1,29.12,0.33
mugla,lightning,1-10,0.76,0.2
mugla,lightning,10-100,0.06,0.19
mugla,lightning,100-1000,0.03,0.33
mugla,unknown,0-1,24.11,0.45
mugla,unknown,1-10,3.22,0.97
mugla,unknown,10-100,0.65,2.05
mugla,unknown,100-1000,0.3,7.11
mugla,unknown,1000-10000,0.08,27.79
mugla,unknown,10000-100000,0.02,15.02
istanbul,human,0-1,42.37,9.61
istanbul,human,1-10,4.07,20.18
istanbul,human,10-100,0.37,14.4
istanbul,lightning,0-1,0.97,0.28
istanbul,lightning,1-10,0.03,0.17
istanbul,unknown,0-1,48.51,12.68
istanbul,unknown,1-10,3.37,15.26
istanbul,unknown,10-100,0.23,13.33
istanbul,unknown,100-1000,0.07,14.11
bolu,human,0-1,27.63,3.88
bolu,human,1-10,9.7,9.84
bolu,human,10-100,1.35,20.33
bolu,human,100-1000,0.13,13.7
bolu,lightning,0-1,21.16,1.63
bolu,lightning,1-10,2.96,3.61
bolu,lightning,10-100,0.4,3.27
bolu,unknown,0-1,27.49,3.56
bolu,unknown,1-10,8.49,9.46
bolu,unknown,10-100,0.27,3.44
bolu,unknown,100-1000,0.4,27.27
erzurum,human,0-1,20.12,1.84
erzurum,human,1-10,15.92,12.33
erzurum,human,10-100,4.2,17.19
erzurum,lightning,0-1,0.9,0.03
erzurum,lightning,1-10,1.2,0.79
erzurum,unknown,0-1,27.93,3.05
erzurum,unknown,1-10,23.72,14.44
erzurum,unknown,10-100,5.41,30.25
erzurum,unknown,100-1000,0.6,20.08
elazig,human,0-1,11.56,0.94
elazig,human,1-10,8.84,5.95
elazig,human,10-100,2.21,10.05
elazig,human,100-1000,0.09,5.8
elazig,lightning,0-1,2.81,0.21
elazig,lightning,1-10,0.43,0.45
elazig,lightning,10-100,0.09,0.24
elazig,unknown,0-1,43.54,3.7
elazig,unknown,1-10,26.11,18.35
elazig,unknown,10-100,4.08,22.94
elazig,unknown,100-1000,0.26,31.37
izmir,total,0-1,82.09,3.82
izmir,total,1-10,14.63,8.84
izmir,total,10-100,2.61,15.97
izmir,total,100-1000,0.61,43.29
izmir,total,1000-10000,0.06,28.08
mugla,total,0-1,89.08,1.55
mugla,total,1-10,8.39,2.45
mugla,total,10-100,1.82,5.08
mugla,total,100-1000,0.55,12.76
mugla,total,1000-10000,0.13,45.28
mugla,total,10000-100000,0.03,32.87
istanbul,total,0-1,91.85,22.57
istanbul,total,1-10,7.48,35.6
istanbul,total,10-100,0.6,27.73
istanbul,total,100-1000,0.07,14.11
bolu,total,0-1,76.28,9.08
bolu,total,1-10,21.16,22.91
bolu,total,10-100,2.02,27.03
bolu,total,100-1000,0.54,40.98
erzurum,total,0-1,48.95,4.92
erzurum,total,1-10,40.84,27.55
erzurum,total,10-100,9.61,47.44
erzurum,total,100-1000,0.6,20.08
elazig,total,0-1,57.91,4.85
elazig,total,1-10,35.37,24.75
elazig,total,10-100,6.38,33.22
elazig,total,100-1000,0.34,37.18
